(node:93508) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
t0 s0 w0 gold=0 hp=100 works=0/0 alive=0 wheel=spin/240 crossings=000 att=0 pros=(-2,-31) decoy=-
t169 s307 w10 gold=18 hp=79 works=13/17 alive=12 wheel=spin/240 crossings=501 att=39 pros=(-4,-29) decoy=-3.3,-26.52
t170 s307 w10 gold=18 hp=79 works=13/17 alive=11 wheel=spin/240 crossings=501 att=39 pros=(-3,-29) decoy=-3.3,-26.52
t171 s308 w10 gold=18 hp=79 works=13/17 alive=11 wheel=spin/240 crossings=501 att=39 pros=(-2,-30) decoy=-3.3,-26.52
t172 s308 w10 gold=18 hp=79 works=13/17 alive=25 wheel=spin/240 crossings=501 att=39 pros=(-0,-31) decoy=-3.3,-26.52
t173 s308 w10 gold=18 hp=79 works=13/17 alive=25 wheel=spin/240 crossings=501 att=39 pros=(0,-31) decoy=-3.3,-26.52
t174 s309 w10 gold=18 hp=79 works=13/17 alive=24 wheel=spin/240 crossings=501 att=39 pros=(2,-33) decoy=-3.3,-26.52
t175 s309 w10 gold=6 hp=79 works=13/17 alive=24 wheel=spin/240 crossings=501 att=39 pros=(3,-33) decoy=-3.3,-26.52
t176 s309 w10 gold=6 hp=79 works=12/17 alive=24 wheel=spin/240 crossings=501 att=39 pros=(3,-33) decoy=-3.3,-26.52
t177 s310 w10 gold=3 hp=79 works=13/17 alive=21 wheel=spin/240 crossings=501 att=39 pros=(7,-33) decoy=-3.3,-26.52
t178 s310 w10 gold=3 hp=79 works=13/17 alive=20 wheel=spin/240 crossings=501 att=39 pros=(7,-34) decoy=-3.3,-26.52
t179 s310 w10 gold=3 hp=79 works=13/17 alive=19 wheel=spin/240 crossings=501 att=39 pros=(5,-34) decoy=-3.3,-26.52
t180 s313 w10 gold=3 hp=79 works=13/17 alive=16 wheel=spin/240 crossings=501 att=39 pros=(2,-21) decoy=-3.3,-26.52
t181 s314 w10 gold=3 hp=79 works=13/17 alive=15 wheel=spin/240 crossings=501 att=39 pros=(3,-25) decoy=-3.3,-26.52
t182 s315 w10 gold=3 hp=79 works=13/17 alive=13 wheel=spin/240 crossings=501 att=39 pros=(3,-29) decoy=-3.3,-26.52
